Algorithm,DatasetSize,JoulesUsed,SecondsElapsed
FloydWarshall,10,7.16,0.177585305
FloydWarshall,50,6.95,0.18313111
FloydWarshall,100,12.91,0.301394525
FloydWarshall,200,41.27,1.059658449
FloydWarshall,300,121.02000000000001,3.205505858
FloydWarshall,400,295.61999999999995,7.894025684
FloydWarshall,500,625.51,16.066306997
FloydWarshall,600,1227.99,29.675844265
FloydWarshall,700,1793.2,44.689341564
FloydWarshall,800,2704.71,68.259178286
FloydWarshall,900,3559.8799999999997,96.634485028
FloydWarshall,1000,5240.329999999999,135.318972445
